ISO 3166-1 Alpha 3-Codes,Country name,Country category,COD-PS URL
ABW,Aruba,Preparedness,https://data.humdata.org/dataset/cod-ps-abw
AFG,Afghanistan,Operational,https://data.humdata.org/dataset/cod-ps-afg
AGO,Angola,Preparedness,https://data.humdata.org/dataset/cod-ps-ago
AIA,Anguilla,Preparedness,https://data.humdata.org/dataset/cod-ps-aia
ALB,Albania,Preparedness,https://data.humdata.org/dataset/cod-ps-alb
ARE,United Arab Emirates,Preparedness,
ARG,Argentina,Preparedness,https://data.humdata.org/dataset/cod-ps-arg
ARM,Armenia,Preparedness,https://data.humdata.org/dataset/cod-ps-arm
ATG,Antigua and Barbuda,Preparedness,https://data.humdata.org/dataset/cod-ps-atg
AZE,Azerbaijan,Preparedness,https://data.humdata.org/dataset/cod-ps-aze
BDI,Burundi,Operational,https://data.humdata.org/dataset/cod-ps-bdi
BEN,Benin,Preparedness,https://data.humdata.org/dataset/cod-ps-ben
BES,"Bonaire, Sint Eustatius and Saba",Preparedness,
BFA,Burkina Faso,Operational,https://data.humdata.org/dataset/cod-ps-bfa
BGD,Bangladesh,Preparedness,https://data.humdata.org/dataset/cod-ps-bgd
BGR,Bulgaria,Preparedness,
BHR,Bahrain,Preparedness,
BHS,Bahamas,Preparedness,https://data.humdata.org/dataset/cod-ps-bhs
BLM,Saint Barthélemy,Preparedness,https://data.humdata.org/dataset/cod-ps-blm
BLR,Belarus,Preparedness,
BLZ,Belize,Preparedness,https://data.humdata.org/dataset/cod-ps-blz
BMU,Bermuda,Preparedness,https://data.humdata.org/dataset/cod-ps-bmu
BOL,Bolivia (Plurinational State of),Preparedness,https://data.humdata.org/dataset/cod-ps-bol
BRA,Brazil,Preparedness,https://data.humdata.org/dataset/cod-ps-bra
BRB,Barbados,Preparedness,https://data.humdata.org/dataset/cod-ps-brb
BTN,Bhutan,Preparedness,https://data.humdata.org/dataset/cod-ps-btn
BWA,Botswana,Preparedness,https://data.humdata.org/dataset/cod-ps-bwa
CAF,Central African Republic,Operational,https://data.humdata.org/dataset/cod-ps-caf
CHL,Chile,Preparedness,https://data.humdata.org/dataset/cod-ps-chl
CHN,China,Preparedness,
CIV,Côte d'Ivoire,Operational,https://data.humdata.org/dataset/cod-ps-civ
CMR,Cameroon,Operational,
COD,Democratic Republic of the Congo,Operational,https://data.humdata.org/dataset/cod-ps-cod
COG,Congo,Preparedness,
COL,Colombia,Operational,https://data.humdata.org/dataset/cod-ps-col
COM,Comoros,Preparedness,https://data.humdata.org/dataset/cod-ps-com
CPV,Cabo Verde,Preparedness,https://data.humdata.org/dataset/cod-ps-cpv
CRI,Costa Rica,Preparedness,https://data.humdata.org/dataset/cod-ps-cri
CUB,Cuba,Preparedness,https://data.humdata.org/dataset/cod-ps-cub
CUW,Curaçao,Preparedness,https://data.humdata.org/dataset/cod-ps-cuw
CYM,Cayman Islands,Preparedness,https://data.humdata.org/dataset/cod-ps-cym
DJI,Djibouti,Preparedness,https://data.humdata.org/dataset/cod-ps-dji
DMA,Dominica,Preparedness,https://data.humdata.org/dataset/cod-ps-dma
DOM,Dominican Republic,Preparedness,https://data.humdata.org/dataset/cod-ps-dom
DZA,Algeria,Preparedness,
ECU,Ecuador,Preparedness,https://data.humdata.org/dataset/cod-ps-ecu
EGY,Egypt,Preparedness,https://data.humdata.org/dataset/cod-ps-egy
ERI,Eritrea,Operational,https://data.humdata.org/dataset/cod-ps-eri
ESH,Western Sahara,Preparedness,
ETH,Ethiopia,Operational,https://data.humdata.org/dataset/cod-ps-eth
FJI,Fiji,Preparedness,https://data.humdata.org/dataset/cod-ps-fji
FSM,Micronesia (Federated States of),Preparedness,https://data.humdata.org/dataset/cod-ps-fsm
GAB,Gabon,Preparedness,
GEO,Georgia,Preparedness,https://data.humdata.org/dataset/cod-ps-geo
GHA,Ghana,Preparedness,https://data.humdata.org/dataset/cod-ps-gha
GIN,Guinea,Preparedness,https://data.humdata.org/dataset/cod-ps-gin
GLP,Guadeloupe,Preparedness,https://data.humdata.org/dataset/cod-ps-glp
GMB,Gambia,Preparedness,https://data.humdata.org/dataset/cod-ps-gmb
GNB,Guinea-Bissau,Preparedness,
GNQ,Equatorial Guinea,Preparedness,
GRC,Greece,Preparedness,
GRD,Grenada,Preparedness,https://data.humdata.org/dataset/cod-ps-grd
GTM,Guatemala,Operational,https://data.humdata.org/dataset/cod-ps-gtm
GUF,French Guiana,Preparedness,https://data.humdata.org/dataset/cod-ps-guf
GUY,Guyana,Preparedness,https://data.humdata.org/dataset/cod-ps-guy
HND,Honduras,Operational,https://data.humdata.org/dataset/cod-ps-hnd
HTI,Haiti,Operational,https://data.humdata.org/dataset/cod-ps-hti
IDN,Indonesia,Preparedness,https://data.humdata.org/dataset/cod-ps-idn
IRN,Iran (Islamic Republic of),Preparedness,https://data.humdata.org/dataset/cod-ps-irn
IRQ,Iraq,Operational,
JAM,Jamaica,Preparedness,https://data.humdata.org/dataset/cod-ps-jam
JPN,Japan,Preparedness,
