iso_3,iso_cd,iso_wp,iso_un,adm0_name1,cod_year,cod_lvl,cod_lvl_max,cod_0_fill
ABW,533,,,Aruba,2010,,2,
AFG,4,,,Afghanistan,2021,0,1,
AGO,24,,,Angola,2022,2,,
AIA,660,,,Anguilla,2011,0,1,
ALA,248,,,Åland Islands,,,,
ALB,8,,,Albania,2021,1,,
AND,20,,,Andorra,,,,
ARE,784,,,United Arab Emirates,,,,
ARG,32,,,Argentina,2021,1,,
ARM,51,,,Armenia,2022,1,,
ASM,16,,,American Samoa,,,,
ATA,10,,,Antarctica,,,,
ATF,260,,,French Southern Territories,,,,
ATG,28,,,Antigua and Barbuda,2022,0,,
AUS,36,,,Australia,,,,
AUT,40,,,Austria,,,,
AZE,31,,,Azerbaijan,2018,,1,
BDI,108,,,Burundi,2022,2,,
BEL,56,,,Belgium,,,,
BEN,204,,,Benin,2019,2,,
BES,535,,,"Bonaire, Sint Eustatius and Saba",,,,
BFA,854,,,Burkina Faso,2019,3,,
BGD,50,,,Bangladesh,2011,3,,
BGR,100,,,Bulgaria,,,,
BHR,48,,,Bahrain,,,,
BHS,44,,,Bahamas,2022,0,,
BIH,70,,,Bosnia and Herzegovina,,,,
BLM,652,,,Saint Barthélemy,2016,,1,
BLR,112,,,Belarus,,,,
BLZ,84,,,Belize,2010,1,2,
BMU,60,,,Bermuda,2016,,2,
BOL,68,,,Bolivia (Plurinational State of),2022,1,,
BRA,76,,,Brazil,2022,1,,
BRB,52,,,Barbados,2010,1,,
BRN,96,,,Brunei Darussalam,,,,
BTN,64,,,Bhutan,2022,1,,
BVT,74,,,Bouvet Island,,,,
BWA,72,,,Botswana,2022,3,,
CAF,140,,,Central African Republic,2015,,1,
CAN,124,,,Canada,,,,
CCK,166,,,Cocos (Keeling) Islands,,,,
CHE,756,,,Switzerland,,,,
CHL,152,,,Chile,2022,3,,
CHN,156,,,China,,,,
CIV,384,,,Côte d'Ivoire,2019,3,,
CMR,120,,,Cameroon,2022,1,,
COD,180,,,Democratic Republic of the Congo,2020,,2,
COG,178,,,Congo,,,,
COK,184,,,Cook Islands,,,,
COL,170,,,Colombia,2022,2,,
COM,174,,,Comoros,2017,1,,
CPT,900,,,Clipperton Island,,,,
CPV,132,,,Cabo Verde,2022,1,,
CRI,188,,,Costa Rica,2021,3,,
CUB,192,,,Cuba,2020,2,,
CUW,531,,,Curaçao,2011,,1,
CXR,162,,,Christmas Island,,,,
CYM,136,,,Cayman Islands,2010,,1,
CYP,196,,,Cyprus,,,,
CZE,203,,,Czechia,,,,
DEU,276,,,Germany,,,,
DJI,262,,,Djibouti,2009,,1,
DMA,212,,,Dominica,2011,,1,
DNK,208,,,Denmark,,,,
DOM,214,,,Dominican Republic,2020,3,,
DZA,12,,,Algeria,,,,
ECU,218,,,Ecuador,2020,1,,
EGY,818,,,Egypt,2016,,1,
ERI,232,,,Eritrea,2001,,2,
ESH,732,,,Western Sahara,,,,
ESP,724,,,Spain,,,,
EST,233,,,Estonia,,,,
ETH,231,,,Ethiopia,2022,3,,
FIN,246,,,Finland,,,,
FJI,242,,,Fiji,2017,3,,
FLK,238,,,Falkland Islands (Malvinas),,,,
FRA,250,,,France,,,,
FRO,234,,,Faroe Islands,,,,
FSM,583,,,Micronesia (Federated States of),2010,2,,
GAB,266,,,Gabon,2022,1,,
GBR,826,,,United Kingdom of Great Britain and Northern Ireland,,,,
GEO,268,,,Georgia,2019,,2,
GGY,831,,,Guernsey,,,,
GHA,288,,,Ghana,2021,1,2,
GIB,292,,,Gibraltar,,,,
GIN,324,,,Guinea,2021,3,,
GLP,312,,,Guadeloupe,2016,2,,
GMB,270,,,Gambia,2021,1,,
GNB,624,,,Guinea-Bissau,,,,
GNQ,226,,,Equatorial Guinea,,,,
GRC,300,,,Greece,,,,
GRD,308,,,Grenada,2011,1,,
GRL,304,,,Greenland,,,,
GTM,320,,,Guatemala,2022,2,,1
GUF,254,,,French Guiana,2016,2,,
GUM,316,,,Guam,,,,
GUY,328,,,Guyana,2021,1,,
HKG,344,,,"Hong Kong, Special Administrative Region of China",,,,
HMD,334,,,Heard Island and McDonald Islands,,,,
HND,340,,,Honduras,2022,2,,
HRV,191,,,Croatia,,,,
HTI,332,,,Haiti,,,,
HUN,348,,,Hungary,,,,
IDN,360,,,Indonesia,2020,2,,1
IMN,833,,,Isle of Man,,,,
IND,356,,,India,,,,
IOT,86,,,British Indian Ocean Territory,,,,
