iso_3,name,status,src_url,src_date,src_update,src_name,src_name1,src_lic
ABW,Aruba,Preparedness,https://data.humdata.org/dataset/aruba-administrative-level-0-1-sadd-2010-population-statistics,2020-04-09,2020-04-09,Aruba Central Bureau of Statistics,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
AFG,Afghanistan,Operational,https://data.humdata.org/dataset/afghanistan-subnational-population-statistics,2021-01-01,2021-04-20,National Statistic and Information Authority (NSIA) Afghanistan,OCHA Afghanistan,Creative Commons Attribution International
AGO,Angola,Preparedness,https://data.humdata.org/dataset/angola-census-2014-final-and-preliminary-population-results,2021-04-01,2021-04-01,UNFPA,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
AIA,Anguilla,Preparedness,https://data.humdata.org/dataset/anguilla-administrative-level-0-and-1-population-statistics,2019-05-10,2019-05-10,Anguilla Statistics Department,OCHA ROLAC,Other
ALB,Albania,Preparedness,https://data.humdata.org/dataset/albania-subnational-population-statistics,2021-06-30,2021-07-01,UNFPA,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
ARE,United Arab Emirates,Preparedness,,,,,,
ARG,Argentina,Preparedness,https://data.humdata.org/dataset/argentina-subnational-population-statistics,2021-06-03,2021-06-03,Projected by UNFPA from El Instituto Nacional de Estadística y Censos de la República Argentina (INDEC) data,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
ARM,Armenia,Preparedness,https://data.humdata.org/dataset/armenia-population-statistics,2019-09-13,2020-09-28,National Statistical Service of the Republic of Armenia,OCHA ROCCA,Creative Commons Attribution for Intergovernmental Organisations
ATG,Antigua and Barbuda,Preparedness,https://data.humdata.org/dataset/antigua-and-barbuda-administrative-level-0-1-population-statistics,2019-05-07,2019-11-28,2001 census of population,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
AZE,Azerbaijan,Preparedness,https://data.humdata.org/dataset/azerbaijan-population-statistics,2018-01-01,2019-09-11,State Statistical Committee of the Republic of Azerbaijan,OCHA ROCCA,Creative Commons Attribution for Intergovernmental Organisations
BDI,Burundi,Operational,https://data.humdata.org/dataset/burundi-administrative-level-0-2-population-statistics-2018,2021-04-28,2021-09-13,for Administrative levels 0 and 1:  UNFPA and ISTEEBU,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
BEN,Benin,Preparedness,https://data.humdata.org/dataset/benin-administrative-level-0-2-sadd-2019-projected-population-statistics,2019-05-17,2019-08-21,Institut de la statistique du Bénin,OCHA ROWCA,Other
BES,"Bonaire, Sint Eustatius and Saba",Preparedness,,,,,,
BFA,Burkina Faso,Operational,https://data.humdata.org/dataset/burkina-faso-population-statistic,2019-05-29,2019-07-09,Institut Geographique National de la Statistique (INS) ,OCHA Burkina Faso,Creative Commons Attribution for Intergovernmental Organisations
BGD,Bangladesh,Preparedness,https://data.humdata.org/dataset/bangladesh-administrative-level-0-3-population-statistics,2019-02-15,2020-11-17,Bangladesh Bureau of Statistics,OCHA ROAP,Creative Commons Attribution for Intergovernmental Organisations
BGR,Bulgaria,Preparedness,,,,,,
BHR,Bahrain,Preparedness,,,,,,
BHS,Bahamas,Preparedness,https://data.humdata.org/dataset/bahamas-administrative-level-0-1-age-disaggregated-2019-population-estimates,2019-09-09,2019-09-09,WorldPop,OCHA FISS,Other
BLM,Saint Barthélemy,Preparedness,https://data.humdata.org/dataset/saint-barthelemy-administrative-level-0-1-sex-and-age-dissaggregated-population-statistics,2020-02-21,2020-02-21,Institut national de la statistique et des études économiques,OCHA ROLAC,Other
BLR,Belarus,Preparedness,,,,,,
BLZ,Belize,Preparedness,https://data.humdata.org/dataset/belize-administrative-level-0-2-population-statistics,2019-06-28,2021-09-14, Statistical Institute of Belize,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
BMU,Bermuda,Preparedness,https://data.humdata.org/dataset/bermuda-administrative-level-0-2-population-statistics,2019-05-22,2019-05-22,2016 census,OCHA ROWCA,Creative Commons Attribution for Intergovernmental Organisations
BOL,Bolivia (Plurinational State of),Preparedness,https://data.humdata.org/dataset/bolivia-plurinational-state-of-subnational-population-statistics,2021-07-14,2021-07-14,"UNFPA and Ministerio de Educación, Ministerio de Salud y Deportes, Instituto Nacional de Estadística.",UNFPA,Creative Commons Attribution for Intergovernmental Organisations
BRA,Brazil,Preparedness,https://data.humdata.org/dataset/brazil-subnational-population-statistics,2020-09-30,2020-09-30,Instituto Brasileiro de Geografia e Estatística (IBGE),OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
BRB,Barbados,Preparedness,https://data.humdata.org/dataset/barbados-administrative-level-0-1-sex-and-age-disaggregated-population-statistics,2019-11-28,2019-11-28,Barbados Statistical Service,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
BTN,Bhutan,Preparedness,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics,2020-12-10,2020-12-10,UNFPA,OCHA ROAP,Creative Commons Attribution for Intergovernmental Organisations
BWA,Botswana,Preparedness,https://data.humdata.org/dataset/botswana-subnational-population-statistics,2021-05-18,2021-05-18,UNFPA,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
CAF,Central African Republic,Operational,https://data.humdata.org/dataset/car-data-20160215-population-by-admin,2003-02-10,2018-06-26,"General Census of Population and Housing, Census Office Central African Republic",OCHA Central African Republic,Creative Commons Attribution for Intergovernmental Organisations
CHL,Chile,Preparedness,https://data.humdata.org/dataset/chile-subnational-population-statistics,2021-07-08,2021-07-08,UNFPA and Instituto Nacional de Estadísticas de Chile (INE),UNFPA,Creative Commons Attribution for Intergovernmental Organisations
CHN,China,Preparedness,,,,,,
CIV,Côte d'Ivoire,Operational,https://data.humdata.org/dataset/cote-d-ivoire-population-statistics,2018-04-05,2019-05-30,Institut National de la Statistique (INS) _ Projection UNFPA,OCHA ROWCA,Other
CMR,Cameroon,Operational,,,,,,
COD,Democratic Republic of the Congo,Operational,https://data.humdata.org/dataset/democratic-republic-of-the-congo-administrative-level-0-2-population-statistics,2019-09-12,2019-09-12,Health Zone population statistics developed by the DRC IM Working Group,OCHA DR Congo,Creative Commons Attribution for Intergovernmental Organisations
COG,Congo,Preparedness,,,,,,
COL,Colombia,Operational,https://data.humdata.org/dataset/colombia-population-estimates-and-projections,2020-07-29,2020-07-29,Departamento Administrativo Nacional de Estadística (DANE),OCHA Colombia,Other
COM,Comoros,Preparedness,https://data.humdata.org/dataset/comoros-administrative-level-0-3-population-statistics,2021-08-06,2021-08-06,UNFPA and INSTITUT NATIONAL DE LA STATISTIQUE ET DES ETUDES ECONOMIQUES ET DEMOGRAPHIQUES,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
