ISO 3166-1 Alpha 3-Codes,Country name,Country category,COD-PS URL
ABW,Aruba,Preparedness,https://data.humdata.org/dataset/aruba-administrative-level-0-1-sadd-2010-population-statistics
AFG,Afghanistan,Operational,https://data.humdata.org/dataset/afghanistan-subnational-population-statistics
AGO,Angola,Preparedness,https://data.humdata.org/dataset/angola-census-2014-final-and-preliminary-population-results
AIA,Anguilla,Preparedness,https://data.humdata.org/dataset/anguilla-administrative-level-0-and-1-population-statistics
ALB,Albania,Preparedness,https://data.humdata.org/dataset/albania-subnational-population-statistics
ARE,United Arab Emirates,Preparedness,
ARG,Argentina,Preparedness,https://data.humdata.org/dataset/argentina-subnational-population-statistics
ARM,Armenia,Preparedness,https://data.humdata.org/dataset/armenia-population-statistics
ATG,Antigua and Barbuda,Preparedness,https://data.humdata.org/dataset/antigua-and-barbuda-administrative-level-0-1-population-statistics
AZE,Azerbaijan,Preparedness,https://data.humdata.org/dataset/azerbaijan-population-statistics
BDI,Burundi,Operational,https://data.humdata.org/dataset/burundi-administrative-level-0-2-population-statistics-2018
BEN,Benin,Preparedness,https://data.humdata.org/dataset/benin-administrative-level-0-2-sadd-2019-projected-population-statistics
BES,"Bonaire, Sint Eustatius and Saba",Preparedness,
BFA,Burkina Faso,Operational,https://data.humdata.org/dataset/burkina-faso-population-statistic
BGD,Bangladesh,Preparedness,https://data.humdata.org/dataset/bangladesh-administrative-level-0-3-population-statistics
BGR,Bulgaria,Preparedness,
BHR,Bahrain,Preparedness,
BHS,Bahamas,Preparedness,https://data.humdata.org/dataset/bahamas-administrative-level-0-1-age-disaggregated-2019-population-estimates
BLM,Saint Barthélemy,Preparedness,https://data.humdata.org/dataset/saint-barthelemy-administrative-level-0-1-sex-and-age-dissaggregated-population-statistics
BLR,Belarus,Preparedness,
BLZ,Belize,Preparedness,https://data.humdata.org/dataset/belize-administrative-level-0-2-population-statistics
BMU,Bermuda,Preparedness,https://data.humdata.org/dataset/bermuda-administrative-level-0-2-population-statistics
BOL,Bolivia (Plurinational State of),Preparedness,https://data.humdata.org/dataset/bolivia-plurinational-state-of-subnational-population-statistics
BRA,Brazil,Preparedness,https://data.humdata.org/dataset/brazil-subnational-population-statistics
BRB,Barbados,Preparedness,https://data.humdata.org/dataset/barbados-administrative-level-0-1-sex-and-age-disaggregated-population-statistics
BTN,Bhutan,Preparedness,https://data.humdata.org/dataset/bhutan-administrative-level-0-1-population-statistics
BWA,Botswana,Preparedness,https://data.humdata.org/dataset/botswana-subnational-population-statistics
CAF,Central African Republic,Operational,https://data.humdata.org/dataset/car-data-20160215-population-by-admin
CHL,Chile,Preparedness,https://data.humdata.org/dataset/chile-subnational-population-statistics
CHN,China,Preparedness,
CIV,Côte d'Ivoire,Operational,https://data.humdata.org/dataset/cote-d-ivoire-population-statistics
CMR,Cameroon,Operational,
COD,Democratic Republic of the Congo,Operational,https://data.humdata.org/dataset/democratic-republic-of-the-congo-administrative-level-0-2-population-statistics
COG,Congo,Preparedness,
COL,Colombia,Operational,https://data.humdata.org/dataset/colombia-population-estimates-and-projections
COM,Comoros,Preparedness,https://data.humdata.org/dataset/comoros-administrative-level-0-3-population-statistics
CPV,Cabo Verde,Preparedness,https://data.humdata.org/dataset/cabo-verde-population-statistics
CRI,Costa Rica,Preparedness,https://data.humdata.org/dataset/costa-rica-subnational-population-statisticsx
CUB,Cuba,Preparedness,https://data.humdata.org/dataset/cuba-administrative-levels-0-2-population-statistics
