adm0_src,iso_3,adm0_name,adm0_name1,meta_fb
ABW,ABW,Aruba (Neth.),Aruba,1
AFG,AFG,Afghanistan,Afghanistan,0
AGO,AGO,Angola,Angola,1
AIA,AIA,Anguilla (UK),Anguilla,1
ALA,ALA,Åland Islands (Fin.),Åland Islands,0
ALB,ALB,Albania,Albania,1
AND,AND,Andorra,Andorra,0
ARE,ARE,United Arab Emirates,United Arab Emirates,1
ARG,ARG,Argentina,Argentina,1
ARM,ARM,Armenia,Armenia,1
ASM,ASM,American Samoa (USA),American Samoa,1
ATA,ATA,Antarctica,Antarctica,0
ATF_1,ATF,Kerguelen Islands (Fr.),French Southern Territories,0
ATF_2,ATF,Crozet Archipelago (Fr.),French Southern Territories,0
ATF_3,ATF,Saint Paul and Amsterdam Islands (Fr.),French Southern Territories,0
ATF_4,ATF,Bassas da India (Fr.),French Southern Territories,0
ATF_5,ATF,Europa Island (Fr.),French Southern Territories,0
ATF_6,ATF,Glorioso Islands (Fr.),French Southern Territories,0
ATF_7,ATF,Juan de Nova Island (Fr.),French Southern Territories,0
ATF_8,ATF,Tromelin Island (Fr.),French Southern Territories,0
ATG,ATG,Antigua and Barbuda,Antigua and Barbuda,1
AUS_1,AUS,Australia,Australia,0
AUS_2,AUS,Ashmore & Cartier Islands (Aust.),Australia,0
AUS_3,AUS,Coral Sea Islands (Aust.),Australia,0
AUT,AUT,Austria,Austria,1
AZE,AZE,Azerbaijan,Azerbaijan,0
BDI,BDI,Burundi,Burundi,1
BEL,BEL,Belgium,Belgium,1
BEN,BEN,Benin,Benin,1
BES_1,BES,Bonaire (Neth.),"Bonaire, Sint Eustatius and Saba",0
BES_2,BES,Sint Eustatius (Neth.),"Bonaire, Sint Eustatius and Saba",0
BES_3,BES,Saba (Neth.),"Bonaire, Sint Eustatius and Saba",0
BFA,BFA,Burkina Faso,Burkina Faso,1
BGD,BGD,Bangladesh,Bangladesh,1
BGR,BGR,Bulgaria,Bulgaria,1
BHR,BHR,Bahrain,Bahrain,1
BHS,BHS,Bahamas,Bahamas,1
BIH,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,1
BLM,BLM,Saint Barthélemy (Fr.),Saint Barthélemy,0
BLR,BLR,Belarus,Belarus,1
BLZ,BLZ,Belize,Belize,1
BMU,BMU,Bermuda (UK),Bermuda,0
BOL,BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of),1
